Countries,Population_per_k
Austria,9006.398
Bolivia,11673.021
China,1439323.776
Denmark,5792.202
Egypt,102334.404
Ethiopia,114963.588
Finland,5540.72
France,65273.511
Germany,83783.942
Greece,10423.054
